id,performance_tier,special_case,ViralScore,predicted_high,actual_viral,result
HW0034,超级爆款,小粉丝账号大爆款,95.81162324649299,True,True,TP
HW0131,爆款,常规样本,94.37875751503006,True,True,TP
HW0332,超级爆款,常规样本,93.5370741482966,True,True,TP
HW0388,超级爆款,小粉丝账号大爆款,93.33667334669339,True,True,TP
HW0280,超级爆款,常规样本,93.26653306613227,True,True,TP
HW0450,爆款,常规样本,92.49498997995991,True,True,TP
HW0398,爆款,常规样本,92.06412825651303,True,True,TP
HW0463,超级爆款,新笔记速度特别快,92.03406813627254,True,True,TP
HW0275,超级爆款,常规样本,91.97394789579158,True,True,TP
HW0215,超级爆款,常规样本,91.69338677354709,True,True,TP
HW0475,爆款,常规样本,91.67334669338678,True,True,TP
HW0492,爆款,常规样本,91.66332665330661,True,True,TP
HW0391,超级爆款,小粉丝账号大爆款,91.60320641282566,True,True,TP
HW0301,爆款,常规样本,91.43286573146293,True,True,TP
HW0473,超级爆款,常规样本,91.34268537074148,True,True,TP
HW0217,超级爆款,常规样本,90.85170340681363,True,True,TP
HW0120,爆款,常规样本,90.78156312625251,True,True,TP
HW0175,中高表现,常规样本,90.11022044088176,True,False,FP
HW0258,超级爆款,常规样本,90.0,True,True,TP
HW0058,超级爆款,新笔记速度特别快,89.96993987975952,True,True,TP
HW0464,爆款,常规样本,89.80961923847696,True,True,TP
HW0147,超级爆款,常规样本,89.52905811623246,True,True,TP
HW0491,超级爆款,常规样本,89.29859719438878,True,True,TP
HW0498,爆款,常规样本,89.18837675350701,True,True,TP
HW0081,爆款,常规样本,88.88777555110221,True,True,TP
HW0241,爆款,老笔记累计点赞高,88.81763527054107,True,True,TP
HW0380,爆款,常规样本,88.37675350701403,True,True,TP
HW0166,爆款,常规样本,88.34669338677355,True,True,TP
HW0213,爆款,常规样本,87.89579158316633,True,True,TP
HW0363,爆款,常规样本,87.70541082164328,True,True,TP
HW0421,超级爆款,常规样本,87.70541082164328,True,True,TP
