id,performance_tier,special_case,age_days,engagement,engagement_rate,favorite_like_ratio,velocity
HW0001,普通,常规样本,155,225,0.014910536779324055,0.19148936170212766,1.4423076923076923
HW0002,低表现,常规样本,68,93,0.06848306332842416,0.08139534883720931,1.3478260869565217
HW0003,中高表现,常规样本,296,17713,0.18163453650533223,0.27285298398835517,59.63973063973064
HW0004,普通,常规样本,15,320,0.02737382378100941,0.27091633466135456,20.0
HW0005,爆款,常规样本,266,11305,2.543879387938794,0.3556475170399221,42.340823970037455
HW0006,爆款,常规样本,361,22881,1.167636252296387,0.46777020447906525,63.20718232044199
HW0007,低表现,常规样本,16,22,0.001048917707638028,0.0,1.2941176470588236
HW0008,普通,常规样本,248,130,0.010013865352025883,0.23809523809523808,0.5220883534136547
HW0009,爆款,老笔记累计点赞高,284,46444,1.4974689666290504,0.29759631584859036,162.96140350877192
HW0010,低表现,常规样本,86,11,0.00032882936745187133,0.1,0.12643678160919541
HW0011,普通,常规样本,274,303,0.2874762808349146,0.34977578475336324,1.1018181818181818
HW0012,普通,常规样本,68,1156,0.054812707444286395,0.23326133909287258,16.753623188405797
HW0013,爆款,常规样本,122,4499,1.888748950461797,0.2365921787709497,36.577235772357724
HW0014,普通,常规样本,156,687,0.290732120186204,0.1810344827586207,4.375796178343949
HW0015,普通,常规样本,7,1147,0.08835310429825913,0.07034220532319392,143.375
HW0016,普通,常规样本,11,396,0.08307111390811832,0.2913907284768212,33.0
HW0017,普通,常规样本,15,465,0.039777587681779296,0.1513647642679901,29.0625
HW0018,低表现,常规样本,16,248,0.0199919387343813,0.05150214592274678,14.588235294117647
HW0019,爆款,常规样本,102,6802,0.523956247111385,0.3047750049125565,66.03883495145631
HW0020,普通,常规样本,15,998,0.07643409665313625,0.22536945812807882,62.375
HW0021,普通,常规样本,89,237,0.07588856868395773,0.11848341232227488,2.6333333333333333
HW0022,普通,常规样本,28,2549,0.12086296823138928,0.3400211193241816,87.89655172413794
HW0023,爆款,常规样本,24,26386,1.3464992855684834,0.3898113815895534,1055.44
HW0024,普通,常规样本,184,1590,0.01436560927349771,0.35726643598615915,8.594594594594595
HW0025,爆款,常规样本,1,11918,0.38426567789779137,0.23643044619422574,5959.0
HW0026,普通,常规样本,198,812,0.1476900691160422,0.2912621359223301,4.080402010050252
HW0027,低表现,常规样本,10,209,0.013850231941683234,0.05583756345177665,19.0
HW0028,普通,常规样本,253,1217,0.06529670565511321,0.28434504792332266,4.791338582677166
HW0029,低表现,常规样本,257,10,0.0006626905235255136,0.1111111111111111,0.03875968992248062
HW0030,普通,常规样本,9,987,0.050367421922841396,0.17896009673518742,98.7
HW0031,普通,常规样本,16,79,0.005235255135851558,0.0821917808219178,4.647058823529412
HW0032,普通,常规样本,245,1666,0.3748874887488749,0.33011272141706927,6.772357723577236
HW0033,低表现,常规样本,339,41,0.00043624446714334356,0.07894736842105263,0.12058823529411765
HW0034,超级爆款,小粉丝账号大爆款,193,74155,45.188909201706274,0.5507191281758854,382.24226804123714
HW0035,中高表现,常规样本,90,41279,0.15899837839295275,0.3489333333333333,453.61538461538464
HW0036,低表现,常规样本,258,28,0.0016588660465667398,0.12,0.10810810810810811
HW0037,普通,常规样本,219,938,1.0,0.2109375,4.263636363636364
HW0038,普通,常规样本,166,1025,0.15476370224973576,0.2512437810945274,6.137724550898204
HW0039,中高表现,常规样本,12,1474,0.34796978281397545,0.18314424635332252,113.38461538461539
HW0040,爆款,常规样本,340,21311,0.3204613464459181,0.5450219619326501,62.495601173020525
HW0041,中高表现,常规样本,24,10252,0.7897088276074565,0.42943153178381405,410.08
HW0042,低表现,常规样本,3,444,0.0018940363450217557,0.18010752688172044,111.0
HW0043,中高表现,常规样本,233,5396,0.3575878064943671,0.5190557451649602,23.05982905982906
HW0044,中高表现,常规样本,20,1139,0.26268450184501846,0.37300613496932516,54.23809523809524
HW0045,普通,常规样本,14,1727,0.7268518518518519,0.26492537313432835,115.13333333333334
HW0046,中高表现,常规样本,71,719,0.6821631878557874,0.23076923076923078,9.98611111111111
HW0047,普通,常规样本,9,6893,0.032027097349737944,0.3446159936658749,689.3
HW0048,普通,常规样本,288,69,0.07356076759061833,0.23636363636363636,0.23875432525951557
HW0049,普通,常规样本,139,1892,0.11209194857515256,0.30013831258644535,13.514285714285714
HW0050,中高表现,常规样本,275,2175,0.08232088111729306,0.15104445634708089,7.880434782608695
HW0051,爆款,常规样本,204,19924,0.7509705627379292,0.2656119900083264,97.19024390243902
HW0052,普通,常规样本,13,1016,0.05922816835723446,0.37907608695652173,72.57142857142857
HW0053,普通,常规样本,200,129,0.011092003439380911,0.19626168224299065,0.6417910447761194
HW0054,低表现,常规样本,143,20,0.0007179008578915252,0.17647058823529413,0.1388888888888889
HW0055,中高表现,常规样本,14,4418,3.032258064516129,0.2827240566037736,294.53333333333336
HW0056,中高表现,常规样本,8,4212,4.490405117270789,0.5339698861549761,468.0
HW0057,中高表现,常规样本,109,7988,0.08499319033026898,0.32978003384094756,72.61818181818182
HW0058,超级爆款,新笔记速度特别快,0,47358,10.922047970479705,0.33956075299486593,47358.0
HW0059,中高表现,常规样本,55,2728,0.21991132607819427,0.20328450954283178,48.714285714285715
HW0060,低表现,常规样本,10,475,0.023638897183238777,0.08525345622119816,43.18181818181818
HW0061,爆款,常规样本,284,10348,1.0883466554480437,0.14603849597135182,36.30877192982456
HW0062,普通,常规样本,2,95,0.005538066923166609,0.10588235294117647,31.666666666666668
HW0063,爆款,常规样本,343,34068,0.3639938030877718,0.41148224590371085,99.03488372093024
HW0064,中高表现,常规样本,176,14703,11.58628841607565,0.40361562258314,83.0677966101695
HW0065,普通,常规样本,17,763,0.049334023018233544,0.3469750889679715,42.388888888888886
HW0066,中高表现,常规样本,358,3684,0.13804474088507512,0.47176611934321183,10.26183844011142
HW0067,中高表现,常规样本,5,9510,0.08592260640941082,0.474835886214442,1585.0
HW0068,低表现,常规样本,317,6,0.0025188916876574307,0.0,0.018867924528301886
HW0069,低表现,常规样本,7,62,0.004108681245858184,0.05084745762711865,7.75
HW0070,低表现,常规样本,170,33,0.02010968921389397,0.2692307692307692,0.19298245614035087
HW0071,中高表现,常规样本,11,11115,4.353701527614571,0.3868520859671302,926.25
HW0072,中高表现,常规样本,35,7069,16.751184834123222,0.18152651131374536,196.36111111111111
HW0073,普通,常规样本,187,659,0.15198339483394835,0.08542713567839195,3.50531914893617
HW0074,爆款,常规样本,174,8097,0.4131965707287201,0.4872415719873347,46.26857142857143
HW0075,低表现,常规样本,270,172,0.0007337257913147342,0.08917197452229299,0.6346863468634686
HW0076,爆款,常规样本,56,5891,0.3434184446776262,0.32962794918330307,103.35087719298245
HW0077,普通,常规样本,6,3299,0.01314096563591678,0.08161911081619111,471.2857142857143
HW0078,普通,常规样本,100,3397,0.019735083948178703,0.13067027758970887,33.633663366336634
HW0079,普通,常规样本,135,266,0.16209628275441804,0.18099547511312217,1.9558823529411764
HW0080,爆款,常规样本,306,10518,0.3980924264789372,0.17437762873706947,34.26058631921824
HW0081,爆款,常规样本,346,29700,9.510086455331413,0.48366509648989514,85.5907780979827
HW0082,普通,常规样本,127,307,0.023512292257026883,0.2923728813559322,2.3984375
HW0083,低表现,常规样本,82,99,0.004369703389830508,0.2073170731707317,1.1927710843373494
HW0084,中高表现,点赞一般但收藏特别高,30,4214,1.086082474226804,1.036893203883495,135.93548387096774
HW0085,普通,常规样本,4,1142,0.042792370817251846,0.22065217391304348,228.4
HW0086,低表现,常规样本,292,379,0.01934068177179016,0.2633333333333333,1.2935153583617747
HW0087,普通,常规样本,20,576,0.12961296129612962,0.3,27.428571428571427
HW0088,低表现,常规样本,8,68,0.03930635838150289,0.15254237288135594,7.555555555555555
HW0089,普通,常规样本,65,1363,0.572208228379513,0.17647058823529413,20.651515151515152
HW0090,普通,常规样本,3,2081,0.06573170346504943,0.1441340782122905,520.25
HW0091,低表现,常规样本,45,171,0.002571389903911219,0.10457516339869281,3.717391304347826
HW0092,普通,常规样本,6,110,0.07549759780370624,0.35802469135802467,15.714285714285714
HW0093,普通,常规样本,24,1863,0.019904909450291147,0.14232673267326731,74.52
